instance, cost, time
4.2, 512, 1.458520
4.3, 516, 0.472340
4.4, 495, 0.307928
4.5, 514, 0.300165
4.6, 560, 1.694090
4.7, 432, 1.166867
4.8, 493, 0.126807
4.9, 645, 1.051392
5.1, 253, 0.680010
5.2, 306, 2.770915
5.3, 226, 0.781415
5.4, 242, 0.232773
5.5, 211, 0.293864
5.6, 213, 0.303478
5.7, 293, 2.722873
5.8, 288, 0.080071
5.9, 279, 0.854850
6.1, 138, 0.588142
6.2, 146, 0.692501
6.3, 145, 1.807759
6.4, 131, 0.201869
6.5, 164, 0.807797
A.1, 254, 3.929040
A.2, 252, 7.596407
A.3, 233, 2.447373
A.4, 234, 1.985722
A.5, 236, 1.420152
B.1, 69, 1.181474
B.2, 76, 0.843925
B.3, 80, 3.460046
B.4, 79, 1.251699
B.5, 72, 0.419594
C.1, 227, 6.757836
C.2, 219, 1.708671
C.3, 243, 16.337517
C.4, 221, 6.167394
C.5, 215, 2.835669
D.1, 61, 1.796735
D.2, 67, 2.484291
D.3, 72, 5.022016
D.4, 62, 1.483926
D.5, 61, 3.289512
NRE.1, 29, 2.177251
NRE.2, 31, 4.239671
NRE.3, 28, 1.425850
NRE.4, 29, 2.880097
NRE.5, 28, 5.574205
NRF.1, 14, 1.901479
NRF.2, 15, 1.002990
NRF.3, 15, 3.805632
NRF.4, 15, 2.825760
NRF.5, 14, 2.798665
NRG.1, 177, 51.925961
NRG.2, 156, 65.975138
NRG.3, 169, 54.422438
NRG.4, 174, 84.674187
NRG.5, 169, 83.344745
NRH.1, 65, 48.994179
NRH.2, 66, 111.934009
NRH.3, 62, 36.362932
NRH.4, 61, 75.447313
NRH.5, 55, 25.580884
