instance, cost, time
4.2, 512, 1.474631
4.3, 516, 0.465253
4.4, 495, 0.265415
4.5, 514, 0.301198
4.6, 560, 1.849653
4.7, 432, 1.217236
4.8, 493, 0.130415
4.9, 645, 1.207256
5.1, 253, 0.694288
5.2, 306, 2.878668
5.3, 226, 0.827432
5.4, 242, 0.232527
5.5, 211, 0.289634
5.6, 213, 0.290967
5.7, 293, 2.777695
5.8, 288, 0.080390
5.9, 279, 0.912611
6.1, 138, 0.692791
6.2, 146, 0.797306
6.3, 145, 2.061920
6.4, 131, 0.238007
6.5, 164, 0.958597
A.1, 254, 4.401765
A.2, 252, 7.987242
A.3, 233, 2.555676
A.4, 234, 2.008902
A.5, 236, 1.411764
B.1, 69, 1.317598
B.2, 76, 0.893765
B.3, 80, 3.545631
B.4, 79, 1.380897
B.5, 72, 0.426693
C.1, 227, 8.010027
C.2, 219, 1.755747
C.3, 243, 16.157382
C.4, 221, 6.305035
C.5, 215, 2.868915
D.1, 61, 1.868978
D.2, 67, 2.573594
D.3, 72, 5.035035
D.4, 62, 1.543014
D.5, 61, 3.422881
NRE.1, 29, 2.369657
NRE.2, 31, 4.367308
NRE.3, 28, 1.639756
NRE.4, 29, 3.046217
NRE.5, 28, 5.794947
NRF.1, 14, 1.968819
NRF.2, 15, 1.113850
NRF.3, 15, 3.909480
NRF.4, 15, 2.906551
NRF.5, 14, 2.865259
NRG.1, 177, 55.495323
NRG.2, 156, 70.373172
NRG.3, 169, 58.522966
NRG.4, 174, 88.491743
NRG.5, 169, 89.995434
NRH.1, 65, 50.807413
NRH.2, 66, 121.437497
NRH.3, 62, 38.365636
NRH.4, 61, 79.213199
NRH.5, 55, 28.668181
