instance, cost, time
4.2, 512, 0.540577
4.3, 516, 2.145367
4.4, 502, 1.051905
4.5, 512, 1.776873
4.6, 561, 1.631899
4.7, 430, 0.974553
4.8, 493, 0.302758
4.9, 654, 1.123540
5.1, 253, 1.481759
5.2, 308, 2.088515
5.3, 229, 0.445229
5.4, 244, 0.606416
5.5, 212, 0.677279
5.6, 213, 0.824526
5.7, 294, 0.902662
5.8, 290, 0.730432
5.9, 281, 1.458482
6.1, 141, 0.401653
6.2, 148, 0.623312
6.3, 145, 0.630156
6.4, 131, 1.598617
6.5, 161, 0.539660
A.1, 254, 2.165099
A.2, 256, 3.714346
A.3, 234, 2.018543
A.4, 234, 1.180421
A.5, 237, 1.428246
B.1, 69, 2.216475
B.2, 76, 1.440075
B.3, 80, 1.458997
B.4, 79, 3.054540
B.5, 72, 1.171285
C.1, 231, 11.234617
C.2, 219, 10.259862
C.3, 251, 2.306718
C.4, 219, 4.173953
C.5, 215, 2.220466
D.1, 60, 4.004959
D.2, 67, 2.967573
D.3, 73, 2.920160
D.4, 62, 2.569927
D.5, 61, 7.781162
NRE.1, 29, 3.137765
NRE.2, 30, 22.953037
NRE.3, 28, 5.032547
NRE.4, 28, 21.988139
NRE.5, 28, 3.580146
NRF.1, 14, 12.276962
NRF.2, 15, 7.442284
NRF.3, 14, 28.831449
NRF.4, 15, 7.368121
NRF.5, 14, 12.115516
NRG.1, 180, 6.000901
NRG.2, 158, 6.609733
NRG.3, 170, 39.877210
NRG.4, 172, 26.429332
NRG.5, 168, 19.582994
NRH.1, 64, 72.284631
NRH.2, 64, 12.101098
NRH.3, 61, 13.615494
NRH.4, 59, 18.305020
NRH.5, 57, 23.864892
