instance, cost, time
4.2, 512, 0.531781
4.3, 516, 1.859402
4.4, 502, 1.042555
4.5, 512, 1.818454
4.6, 561, 1.651091
4.7, 430, 0.980323
4.8, 493, 0.304367
4.9, 654, 1.140389
5.1, 253, 1.288400
5.2, 308, 1.928940
5.3, 229, 0.372999
5.4, 244, 0.579568
5.5, 212, 0.585953
5.6, 213, 0.714005
5.7, 294, 1.056089
5.8, 290, 0.648758
5.9, 281, 1.279063
6.1, 141, 0.339872
6.2, 148, 0.554252
6.3, 145, 0.545354
6.4, 131, 1.371318
6.5, 161, 0.491104
A.1, 254, 2.030841
A.2, 256, 4.179407
A.3, 234, 1.988254
A.4, 234, 1.089118
A.5, 237, 1.412286
B.1, 69, 2.094994
B.2, 76, 1.352349
B.3, 80, 1.514934
B.4, 79, 2.942776
B.5, 72, 1.040493
C.1, 231, 10.930355
C.2, 219, 10.837016
C.3, 251, 2.308852
C.4, 219, 4.096564
C.5, 215, 2.226326
D.1, 60, 4.117922
D.2, 67, 2.599204
D.3, 73, 2.916958
D.4, 62, 2.664844
D.5, 61, 8.068174
NRE.1, 29, 3.502145
NRE.2, 30, 22.745143
NRE.3, 28, 4.626518
NRE.4, 28, 22.583117
NRE.5, 28, 3.992434
NRF.1, 14, 13.350708
NRF.2, 15, 6.894859
NRF.3, 14, 29.992169
NRF.4, 15, 6.747649
NRF.5, 14, 11.229682
NRG.1, 180, 5.606460
NRG.2, 158, 6.263471
NRG.3, 170, 36.139368
NRG.4, 172, 22.982655
NRG.5, 168, 18.131027
NRH.1, 64, 64.031717
NRH.2, 64, 10.991817
NRH.3, 61, 11.992660
NRH.4, 59, 16.403889
NRH.5, 57, 22.564849
