instance, cost, time
4.2, 512, 0.609148
4.3, 516, 1.971202
4.4, 502, 1.243308
4.5, 512, 1.865772
4.6, 561, 1.816007
4.7, 430, 1.070569
4.8, 493, 0.345491
4.9, 654, 1.250695
5.1, 253, 1.254985
5.2, 308, 2.159123
5.3, 229, 0.367454
5.4, 244, 0.662075
5.5, 212, 0.662830
5.6, 213, 0.795649
5.7, 294, 0.900994
5.8, 290, 0.679755
5.9, 281, 1.385900
6.1, 141, 0.340153
6.2, 148, 0.603258
6.3, 145, 0.550637
6.4, 131, 1.463276
6.5, 161, 0.587510
A.1, 254, 2.127557
A.2, 256, 3.926441
A.3, 234, 2.033452
A.4, 234, 1.032898
A.5, 237, 1.600296
B.1, 69, 2.214807
B.2, 76, 1.362890
B.3, 80, 1.576441
B.4, 79, 3.010853
B.5, 72, 1.104262
C.1, 231, 10.360565
C.2, 219, 10.879318
C.3, 251, 2.387118
C.4, 219, 4.134397
C.5, 215, 2.408005
D.1, 60, 4.192656
D.2, 67, 2.511224
D.3, 73, 2.873161
D.4, 62, 2.914270
D.5, 61, 7.201543
NRE.1, 29, 3.007207
NRE.2, 30, 21.868100
NRE.3, 28, 4.757609
NRE.4, 28, 23.218984
NRE.5, 28, 3.996364
NRF.1, 14, 12.617237
NRF.2, 15, 7.069659
NRF.3, 14, 28.311742
NRF.4, 15, 6.820175
NRF.5, 14, 11.921234
NRG.1, 180, 6.139715
NRG.2, 158, 7.064024
NRG.3, 170, 40.698377
NRG.4, 172, 26.155483
NRG.5, 168, 19.507844
NRH.1, 64, 68.041075
NRH.2, 64, 11.249614
NRH.3, 61, 12.188698
NRH.4, 59, 16.274374
NRH.5, 57, 22.768425
