instance, cost, time
4.2, 512, 1.293308
4.3, 516, 0.389001
4.4, 495, 0.262141
4.5, 514, 0.257213
4.6, 560, 1.619347
4.7, 432, 1.111908
4.8, 493, 0.128145
4.9, 645, 1.030530
5.1, 253, 0.670772
5.2, 306, 2.682525
5.3, 226, 0.762257
5.4, 242, 0.227719
5.5, 211, 0.297730
5.6, 213, 0.290463
5.7, 293, 2.685567
5.8, 288, 0.081658
5.9, 279, 0.853618
6.1, 138, 0.577991
6.2, 146, 0.681525
6.3, 145, 1.744308
6.4, 131, 0.202705
6.5, 164, 0.779622
A.1, 254, 3.878574
A.2, 252, 7.531632
A.3, 233, 2.426021
A.4, 234, 1.950288
A.5, 236, 1.446889
B.1, 69, 1.172101
B.2, 76, 0.820264
B.3, 80, 3.426604
B.4, 79, 1.247080
B.5, 72, 0.407580
C.1, 227, 6.982685
C.2, 219, 1.762927
C.3, 243, 15.586946
C.4, 221, 6.140404
C.5, 215, 2.800709
D.1, 61, 1.757434
D.2, 67, 2.469392
D.3, 72, 5.018765
D.4, 62, 1.497952
D.5, 61, 3.260355
NRE.1, 29, 2.134882
NRE.2, 31, 4.215770
NRE.3, 28, 1.413741
NRE.4, 29, 2.865402
NRE.5, 28, 5.540595
NRF.1, 14, 1.878822
NRF.2, 15, 0.992624
NRF.3, 15, 3.779744
NRF.4, 15, 3.135926
NRF.5, 14, 2.835947
NRG.1, 177, 50.776328
NRG.2, 156, 67.002768
NRG.3, 169, 54.120102
NRG.4, 174, 84.299153
NRG.5, 169, 83.133462
NRH.1, 65, 48.854167
NRH.2, 66, 110.129647
NRH.3, 62, 35.415786
NRH.4, 61, 75.763735
NRH.5, 55, 25.255025
