instance, cost, time
4.2, 512, 0.541618
4.3, 516, 1.948997
4.4, 502, 1.091147
4.5, 512, 1.814015
4.6, 561, 1.653412
4.7, 430, 0.967348
4.8, 493, 0.300469
4.9, 654, 1.150125
5.1, 253, 1.267348
5.2, 308, 1.892330
5.3, 229, 0.369971
5.4, 244, 0.603179
5.5, 212, 0.640692
5.6, 213, 0.830223
5.7, 294, 0.937360
5.8, 290, 0.793540
5.9, 281, 1.345014
6.1, 141, 0.343419
6.2, 148, 0.551227
6.3, 145, 0.553503
6.4, 131, 1.367283
6.5, 161, 0.500315
A.1, 254, 2.020880
A.2, 256, 3.756558
A.3, 234, 1.886817
A.4, 234, 1.041241
A.5, 237, 1.428259
B.1, 69, 1.987507
B.2, 76, 1.316319
B.3, 80, 1.498240
B.4, 79, 2.816266
B.5, 72, 1.025522
C.1, 231, 11.131565
C.2, 219, 10.790047
C.3, 251, 2.507632
C.4, 219, 4.280379
C.5, 215, 2.140732
D.1, 60, 4.070287
D.2, 67, 2.518272
D.3, 73, 2.934342
D.4, 62, 2.644360
D.5, 61, 8.347545
NRE.1, 29, 3.517133
NRE.2, 30, 21.665906
NRE.3, 28, 4.561352
NRE.4, 28, 21.742741
NRE.5, 28, 3.782136
NRF.1, 14, 12.682838
NRF.2, 15, 6.597783
NRF.3, 14, 29.871092
NRF.4, 15, 6.794189
NRF.5, 14, 12.481074
NRG.1, 180, 6.139621
NRG.2, 158, 6.555281
NRG.3, 170, 40.327484
NRG.4, 172, 24.402773
NRG.5, 168, 19.402693
NRH.1, 64, 69.177380
NRH.2, 64, 12.301124
NRH.3, 61, 14.099030
NRH.4, 59, 16.055258
NRH.5, 57, 22.802878
