instance, cost, time
4.2, 512, 1.303537
4.3, 516, 0.398702
4.4, 495, 0.259840
4.5, 514, 0.252120
4.6, 560, 1.593812
4.7, 432, 1.130752
4.8, 493, 0.128867
4.9, 645, 1.054249
5.1, 253, 0.670090
5.2, 306, 2.717025
5.3, 226, 0.762959
5.4, 242, 0.226449
5.5, 211, 0.292520
5.6, 213, 0.290490
5.7, 293, 2.789052
5.8, 288, 0.080687
5.9, 279, 0.827457
6.1, 138, 0.575804
6.2, 146, 0.684823
6.3, 145, 1.760220
6.4, 131, 0.199986
6.5, 164, 0.788160
A.1, 254, 4.007095
A.2, 252, 7.598721
A.3, 233, 2.516847
A.4, 234, 2.021086
A.5, 236, 1.454459
B.1, 69, 1.166966
B.2, 76, 0.828045
B.3, 80, 3.419711
B.4, 79, 1.236527
B.5, 72, 0.412875
C.1, 227, 6.944740
C.2, 219, 1.759575
C.3, 243, 16.184632
C.4, 221, 6.136630
C.5, 215, 2.760832
D.1, 61, 1.758485
D.2, 67, 2.512925
D.3, 72, 4.994115
D.4, 62, 1.508731
D.5, 61, 3.265494
NRE.1, 29, 2.135502
NRE.2, 31, 4.209627
NRE.3, 28, 1.394646
NRE.4, 29, 2.852672
NRE.5, 28, 5.555531
NRF.1, 14, 1.876369
NRF.2, 15, 0.983618
NRF.3, 15, 3.802732
NRF.4, 15, 2.784272
NRF.5, 14, 2.780935
NRG.1, 177, 51.542182
NRG.2, 156, 65.843075
NRG.3, 169, 54.653792
NRG.4, 174, 84.011875
NRG.5, 169, 83.479190
NRH.1, 65, 48.019929
NRH.2, 66, 110.429042
NRH.3, 62, 36.182281
NRH.4, 61, 76.003781
NRH.5, 55, 25.517905
